開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),投標最後一天平均成交價,撥券日開盤價,可轉債個股投標最後一天均價
2018/8/1,全球,4540,集中交易市場,初上市,美國標,"7,752",79,1,"1,069",50,400,2018/8/15,第一金,"901,072,370",4.5,"2,753","29,975",113.9,133.69,116.24,94.8,132.08,120,
2018/8/1,商億-KY,8482,集中交易市場,第一上市初上市,美國標,"7,999",100,1,"1,150",50,400,2018/8/15,凱基,"930,334,270",4.5,968,"12,004",104.9,170.62,116.31,115,,116,
2018/7/25,茂生農經,1240,櫃檯買賣,初上櫃,美國標,"2,001",39,2,265,50,400,2018/8/8,兆豐,"107,474,890",4.5,"1,318","19,418",52.6,110,53.71,47.19,58.44,59,
2018/7/4,奈米醫材,6612,櫃檯買賣,初上櫃,美國標,"2,056",38.07,2,267,50,400,2018/7/18,兆豐,"117,193,380",4.5,"1,318","17,792",56.1,60.12,57,46.45,65.21,69.5,
2018/7/2,晶相光,3530,集中交易市場,初上市,美國標,"6,315",88.6,1,799,50,400,2018/7/16,永豐金,"857,435,210",4.5,"1,520","13,148",128.8,155,135.78,101,159.03,137,
2018/6/28,皇將,4744,櫃檯買賣,初上櫃,美國標,"3,672",23.53,2,459,50,400,2018/7/12,福邦,"133,450,230",4.5,"1,087","20,629",35.11,74,36.34,28,39.85,41.9,
2018/6/28,百德,4563,櫃檯買賣,初上櫃,美國標,"3,196",51.22,1,409,50,400,2018/7/12,日盛,"243,836,510",5,"1,309","13,878",75,82.2,76.29,58.9,86.56,79.8,
2018/6/26,昇陽半,8028,集中交易市場,初上市,美國標,"10,595",20.5,2,"1,324",50,400,2018/7/10,福邦,"355,607,930",4.5,"1,947","49,119",32.58,37.5,33.56,24.6,37.64,38,
2018/6/15,安力-KY,5223,櫃檯買賣,第一上櫃初上櫃,美國標,"3,459",25,1,497,50,400,2018/7/2,國泰,"138,897,200",4,"1,418","32,376",35.72,55,40.16,27,33.933,42,
2018/6/14,逸達,6576,櫃檯買賣,初上櫃,美國標,"5,879",40,2,845,50,400,2018/6/29,凱基,"322,957,130",4.5,"1,343","20,149",53.22,61.26,54.93,45.2,63.54,60,
2018/6/13,榮科,4989,集中交易市場,初上市,美國標,"9,421",21.38,5,"1,347",50,400,2018/6/28,元大,"268,107,500",5,"1,525","42,400",27.8,31.9,28.46,24.8,31.75,31,
